"time","y1","y2"
0.961,0.48112,1.01215
0.962,0.481457,1.01296
0.963,0.481793,1.01376
0.964,0.482128,1.01457
0.965,0.482463,1.01537
0.966,0.482797,1.01617
0.967,0.48313,1.01697
0.968,0.483463,1.01777
0.969,0.483796,1.01857
0.97,0.484128,1.01936
0.971,0.484459,1.02016
0.972,0.48479,1.02095
0.973,0.48512,1.02175
0.974,0.48545,1.02254
0.975,0.485779,1.02333
0.976,0.486107,1.02412
0.977,0.486435,1.02491
0.978,0.486763,1.0257
0.979,0.48709,1.02649
0.98,0.487416,1.02728
0.981,0.487742,1.02806
0.982,0.488067,1.02885
0.983,0.488392,1.02963
0.984,0.488716,1.03041
0.985,0.489039,1.03119
0.986,0.489362,1.03198
0.987,0.489685,1.03275
0.988,0.490006,1.03353
0.989,0.490328,1.03431
0.99,0.490649,1.03509
0.991,0.490969,1.03586
0.992,0.491289,1.03664
0.993,0.491608,1.03741
0.994,0.491926,1.03818
0.995,0.492244,1.03896
0.996,0.492562,1.03973
0.997,0.492879,1.0405
0.998,0.493195,1.04126
0.999,0.493511,1.04203
1,0.493827,1.0428
